zip_code,cases_cumulative,deaths_cumulative
60601,46834,128
60602,32148,273
60603,2286,0
60604,2520,0
60605,40188,80
60606,6553,55
60607,48420,100
60608,108947,1030
60609,125573,1631
60610,150895,794
60611,49654,155
60612,527105,5624
60613,542650,2955
60614,598292,4983
60615,454344,4177
60616,128229,1456
60617,150400,1839
60618,1458008,11987
60619,143731,2194
60620,420618,8223
60621,146902,2944
60622,917286,9203
60623,339805,4424
60624,881304,13823
60625,1644530,24034
60626,73524,1090
60628,656427,12682
60629,669253,6835
60630,89545,1035
60631,63773,882
60632,1462055,15661
60633,274972,2594
60634,654425,6475
60636,48032,840
60637,55166,436
60638,176680,1872
60639,155741,1600
60640,56992,627
60641,1816578,17118
60642,512338,3737
60643,116582,1760
60644,41115,666
60645,77051,805
60646,941614,13657
60647,125891,1001
60649,434149,13141
60651,96126,955
60652,55839,588
60653,580479,8220
60654,31357,45
60655,54184,330
60656,45842,430
60657,101116,340
60659,525758,5722
60660,95061,884
60661,15989,10
60666,1115,0
60707,43712,476
60827,6606,95
Unknown,86170,318
