,race_ethnicity,year,overdose_death_rate,overdose_death_count,population_size,data_as_of,data_loaded_at
0,All races,2023,99.5070384233140710,805.0000000000000000,808988.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
1,"Asian, Non-Hispanic",2023,12.1928502480906320,36.0000000000000000,295255.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
2,"Black/African American, Non-Hispanic",2023,606.1193812733355300,250.0000000000000000,41246.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
3,Latine/Hispanic,2023,126.0472488489697400,167.0000000000000000,132490.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
4,"White, Non-Hispanic",2023,96.3413386826971560,292.0000000000000000,303089.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
5,All races,2022,78.5466276283742530,635.0000000000000000,808437.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
6,"Asian, Non-Hispanic",2022,9.1681748880294200,27.0000000000000000,294497.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
7,"Black/African American, Non-Hispanic",2022,416.5563073366882300,173.0000000000000000,41531.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
8,Latine/Hispanic,2022,96.7525475569981670,124.0000000000000000,128162.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
9,"White, Non-Hispanic",2022,90.4395295838475730,277.0000000000000000,306282.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
10,All races,2021,76.7947853505626480,623.0000000000000000,811253.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
11,"Asian, Non-Hispanic",2021,6.4106240911253352,19.0000000000000000,296383.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
12,"Black/African American, Non-Hispanic",2021,449.6056934025774000,187.0000000000000000,41592.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
13,Latine/Hispanic,2021,78.1066937436538350,100.0000000000000000,128030.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
14,"White, Non-Hispanic",2021,91.2358929713024620,284.0000000000000000,311281.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
15,All races,2020,80.1936596457002790,698.0000000000000000,870393.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
16,"Asian, Non-Hispanic",2020,11.0014916728415230,34.0000000000000000,309049.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
17,"Black/African American, Non-Hispanic",2020,403.1886462077228000,175.0000000000000000,43404.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
18,Latine/Hispanic,2020,112.1509491152957200,148.0000000000000000,131965.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
19,"White, Non-Hispanic",2020,87.5046304533614860,300.0000000000000000,342839.0000000000000000,2024-12-15T11:30:01.587,2024-12-16T12:33:22.188
